input,output
Who directed 'Jaws'?,Steven Spielberg
"What is the name of the movie where a group of friends reunites at their high school reunion, featuring John Cusack?",Grosse Pointe Blank
What is the main character's name in 'Toy Story' who is voiced by Tim Allen?,Buzz Lightyear
What movie won the Best Picture Oscar in 2017 after a mix-up during the announcement?,Moonlight
What movie is about a man who ages backward?,The Curious Case of Benjamin Button
Who directed 'Django Unchained'?,Quentin Tarantino
Who played the role of Maximus in 'Gladiator'?,Russell Crowe
What movie featured the famous line 'To infinity and beyond'?,Toy Story
Who played the character of Tony Montana in 'Scarface'?,Al Pacino
Which movie is known for the dance scene with John Travolta and Uma Thurman?,Pulp Fiction
Who played the role of Lara Croft in the 2001 film 'Lara Croft: Tomb Raider'?,Angelina Jolie
What is the name of the hotel in 'The Shining'?,The Overlook Hotel
What film features a character named Vito Corleone?,The Godfather
What movie is set in a future where the government controls birthrates and the main character is named Theo Faron?,Children of Men
What film won Best Picture at the Oscars in 2021?,Nomadland
Who directed 'Titanic'?,James Cameron
What is the name of the princess in 'The Princess Bride'?,Princess Buttercup
Who played the main character in 'Cast Away'?,Tom Hanks
Which movie features the song 'Eye of the Tiger'?,Rocky III
What movie features the quote 'I'll have what she's having'?,When Harry Met Sally
Who directed 'Inglourious Basterds'?,Quentin Tarantino
Who played the lead in 'The Silence of the Lambs'?,Jodie Foster
What is the name of the fictional African country in 'Black Panther'?,Wakanda
Which movie is about a man who relives the same day over and over again?,Groundhog Day
What film features a killer shark and was a blockbuster hit in 1975?,Jaws
Who played the role of Indiana Jones?,Harrison Ford
Which actor voiced the character of Donkey in 'Shrek'?,Eddie Murphy
What film is about a young lion prince who flees his kingdom after his father is killed?,The Lion King
What movie features a man who must live inside an airport terminal?,The Terminal
Who directed 'The Grand Budapest Hotel'?,Wes Anderson
Who starred as the lead in 'Mad Max: Fury Road'?,Tom Hardy
Who directed 'The Shape of Water'?,Guillermo del Toro
Who played the titular role in 'Mrs. Doubtfire'?,Robin Williams
What is the highest-grossing R-rated movie of all time (as of 2023)?,Joker
Who played the role of Katniss Everdeen in 'The Hunger Games'?,Jennifer Lawrence
What movie features the line 'E.T. phone home'?,E.T. the Extra-Terrestrial
Which film features a character named Hannibal Lecter?,The Silence of the Lambs
Who starred in the lead role of 'Braveheart'?,Mel Gibson
What movie won the Best Picture Oscar in 1999?,Shakespeare in Love
Who played Jack in 'The Shining'?,Jack Nicholson
What film features the character Gollum?,The Lord of the Rings
Who directed 'The Social Network'?,David Fincher
Which movie features the quote 'You had me at hello'?,Jerry Maguire
What movie stars Jim Carrey as a man whose life is secretly a TV show?,The Truman Show
Who played the role of Wonder Woman in the 2017 movie?,Gal Gadot
What movie features the character John McClane?,Die Hard
Who directed 'The Wolf of Wall Street'?,Martin Scorsese
What movie is about a British soldier held in a German POW camp during WWII?,The Great Escape
What movie features a killer clown named Pennywise?,It
What is the name of the spaceship in 'Alien'?,Nostromo
Who directed 'The Revenant'?,Alejandro G. Iñárritu
What movie is based on a true story about the rise of Facebook?,The Social Network
Who played Rick Deckard in 'Blade Runner'?,Harrison Ford
What movie features the line 'Nobody puts Baby in a corner'?,Dirty Dancing
What is the name of the movie where robots from space battle on Earth?,Transformers
Who played the role of Lara Jean in 'To All the Boys I've Loved Before'?,Lana Condor
What movie won Best Animated Feature at the 2021 Oscars?,Soul
Who played the role of Tony Stark/Iron Man in the Marvel Cinematic Universe?,Robert Downey Jr.
Who directed 'Dune' (2021)?,Denis Villeneuve
What movie features a man trying to survive on Mars?,The Martian
Who played the main character in 'A Beautiful Mind'?,Russell Crowe
What is the name of the hotel in 'John Wick'?,The Continental
Who starred as the lead in 'Bird Box'?,Sandra Bullock
What is the name of the main character in 'The Matrix' played by Keanu Reeves?,Neo
Which actor played Freddie Mercury in 'Bohemian Rhapsody'?,Rami Malek
Who directed the movie '1917'?,Sam Mendes
What movie features the song 'Let It Go'?,Frozen
Who played the character of Tony Montana in 'Scarface'?,Al Pacino
Which movie franchise is centered around racing cars and heists?,Fast & Furious
What movie features the character Jack Sparrow?,Pirates of the Caribbean
Who directed 'The Irishman'?,Martin Scorsese
What movie won the Best Picture Oscar in 1998?,Titanic
Who voiced the character of Simba in the 2019 version of 'The Lion King'?,Donald Glover
What movie features the song 'Over the Rainbow'?,The Wizard of Oz
Who played the character of Black Widow in the MCU?,Scarlett Johansson
What is the name of the computer in 'The Matrix' that rules over humanity?,The Architect
What movie is about a dystopian world where books are banned?,Fahrenheit 451
Who played the role of Mia in 'La La Land'?,Emma Stone
What movie features a character named Captain America?,Captain America: The First Avenger
Who played the main role in 'The Pursuit of Happyness'?,Will Smith
Who directed 'The Grand Budapest Hotel'?,Wes Anderson
Who played the character Jack in 'Titanic'?,Leonardo DiCaprio
What movie is famous for the quote 'You're gonna need a bigger boat'?,Jaws
Who directed 'Inglourious Basterds'?,Quentin Tarantino
What is the name of the lead character in 'The Matrix'?,Neo
Who starred as The Bride in 'Kill Bill'?,Uma Thurman
What year was 'Jurassic Park' released?,1993
Who directed 'Blade Runner 2049'?,Denis Villeneuve
What movie won the Best Picture Oscar in 1995?,Forrest Gump
Who played the role of Clarice Starling in 'The Silence of the Lambs'?,Jodie Foster
What movie features a character named Andy Dufresne?,The Shawshank Redemption
Who played Mary Poppins in the original 1964 movie?,Julie Andrews
What movie is about an astronaut stranded on Mars?,The Martian
Who voiced the character of Woody in 'Toy Story'?,Tom Hanks
What movie features the character John Rambo?,First Blood
Who directed 'Schindler's List'?,Steven Spielberg
Who played the main character in 'Forrest Gump'?,Tom Hanks
What is the name of the main antagonist in 'The Dark Knight'?,The Joker
What movie features the song 'Hakuna Matata'?,The Lion King
What year did 'The Godfather' premiere?,1972
Who played James Bond in 'GoldenEye'?,Pierce Brosnan
Who starred as the main character in 'Cast Away'?,Tom Hanks
What movie features a character named Vito Corleone?,The Godfather
Who directed 'Saving Private Ryan'?,Steven Spielberg
What movie features the line 'I'll be back'?,The Terminator
Who played the main character in 'The Truman Show'?,Jim Carrey
What movie is about a man who ages backward?,The Curious Case of Benjamin Button
Who played the role of Indiana Jones?,Harrison Ford
"What movie features the line 'Here's looking at you, kid'?",Casablanca
Who directed 'Pulp Fiction'?,Quentin Tarantino
What is the name of the character who said 'I see dead people'?,Cole Sear
Who played Batman in 'The Dark Knight'?,Christian Bale
What movie won Best Picture at the Oscars in 2020?,Parasite
Who voiced the character of Elsa in 'Frozen'?,Idina Menzel
Who played Captain Jack Sparrow in 'Pirates of the Caribbean'?,Johnny Depp
What movie features the line 'You can't handle the truth!'?,A Few Good Men
What is the name of the robot in 'WALL-E'?,WALL-E
Who directed the movie 'Dunkirk'?,Christopher Nolan
What movie is based on a true story about King George VI's stammer?,The King's Speech
What year was the first 'Star Wars' movie released?,1977
What movie features the character Tony Stark?,Iron Man
Who directed 'The Departed'?,Martin Scorsese
What movie is about a group of friends who reunite at their high school reunion?,Grosse Pointe Blank
Who played Wolverine in the 'X-Men' series?,Hugh Jackman
Who played the main character in 'Joker' (2019)?,Joaquin Phoenix
What movie features the song 'My Heart Will Go On'?,Titanic
Who played the role of Ellen Ripley in 'Alien'?,Sigourney Weaver
Who starred as the main character in 'The Revenant'?,Leonardo DiCaprio
Who directed 'Avatar'?,James Cameron
What movie is about a young wizard who attends Hogwarts?,Harry Potter and the Sorcerer's Stone
Who directed 'The Hurt Locker'?,Kathryn Bigelow
What movie features the quote 'I'll make him an offer he can't refuse'?,The Godfather
Who starred as the main character in 'Rocky'?,Sylvester Stallone
What movie features the song 'Everything Is Awesome'?,The Lego Movie
Who played the role of Edward Cullen in 'Twilight'?,Robert Pattinson
Who directed 'The Irishman'?,Martin Scorsese
What movie features a group of women called 'The Pink Ladies'?,Grease
What is the name of the school in 'Mean Girls'?,North Shore High School
Who played the role of John Wick?,Keanu Reeves
Who directed 'Interstellar'?,Christopher Nolan
What movie is about a clown who terrorizes children in Derry?,It
Who played the character of Bridget Jones?,Renée Zellweger
What movie is known for the line 'As if!'?,Clueless
What movie features the character Travis Bickle?,Taxi Driver
Who played the role of Jack Sparrow?,Johnny Depp
What is the name of the space ship in 'Guardians of the Galaxy'?,The Milano
Who played the character of Ripley in 'Alien'?,Sigourney Weaver
What movie is set in a dystopian future where emotions are suppressed?,Equilibrium
Who directed 'The Revenant'?,Alejandro G. Iñárritu
What movie features a character named Maverick?,Top Gun
Who voiced the character of Simba in the original 'The Lion King'?,Matthew Broderick
What movie won the Best Picture Oscar in 2022?,CODA
Who starred as Captain America in the MCU?,Chris Evans
What movie is about a young girl who moves to a new city and has animated emotions?,Inside Out
What is the name of the princess in 'Sleeping Beauty'?,Aurora
What movie features a hotel called 'The Continental'?,John Wick
What movie features a bear named Paddington?,Paddington
"Who played the role of Tony Stark's assistant, Pepper Potts?",Gwyneth Paltrow
What is the name of the main character in 'The Big Lebowski'?,The Dude
What movie features a dance scene between Pulp Fiction's John Travolta and Uma Thurman?,Pulp Fiction
Who played Joker in 'Joker' (2019)?,Joaquin Phoenix
Who directed 'Parasite'?,Bong Joon-ho
What is the name of the main character in 'The Shawshank Redemption'?,Andy Dufresne
Who played the role of Neo in 'The Matrix'?,Keanu Reeves
Who played the lead role in 'La La Land'?,Ryan Gosling
What movie features the song 'This Is Me'?,The Greatest Showman
Who directed 'The Grand Budapest Hotel'?,Wes Anderson
What movie is based on the life of Stephen Hawking?,The Theory of Everything
Who starred as Lara Croft in the 2018 'Tomb Raider'?,Alicia Vikander
"What movie features the quote 'Houston, we have a problem'?",Apollo 13
Who played Severus Snape in the 'Harry Potter' series?,Alan Rickman
What is the name of the main character in 'Pirates of the Caribbean'?,Jack Sparrow
Who directed 'Once Upon a Time in Hollywood'?,Quentin Tarantino
What movie won Best Picture at the 1994 Oscars?,Schindler's List
Who starred as the main character in 'Black Swan'?,Natalie Portman
What is the main character's name in 'Mad Max: Fury Road'?,Max Rockatansky
What is the name of the hotel in 'The Shining'?,The Overlook Hotel
What movie features the quote 'Why so serious?'?,The Dark Knight
Who played Princess Leia in 'Star Wars'?,Carrie Fisher
What movie is known for the quote 'Life is like a box of chocolates'?,Forrest Gump
Who directed 'Get Out'?,Jordan Peele
Who played the titular role in 'Forrest Gump'?,Tom Hanks
"What movie features the quote 'Elementary, my dear Watson'?",The Adventures of Sherlock Holmes
Who starred as the main character in 'Edward Scissorhands'?,Johnny Depp
Who played Dorothy in 'The Wizard of Oz'?,Judy Garland
Who directed 'E.T. the Extra-Terrestrial'?,Steven Spielberg
What movie features the character Jason Bourne?,The Bourne Identity
What year was 'The Godfather Part II' released?,1974
Who played Marty McFly in 'Back to the Future'?,Michael J. Fox
Who voiced the character of Dory in 'Finding Nemo'?,Ellen DeGeneres
What is the name of the fictional city in 'Batman'?,Gotham City
What movie is about an astronaut who gets lost in space?,Gravity
What movie won the Best Picture Oscar in 2013?,Argo
Who starred as the main character in 'The Mask'?,Jim Carrey
Who played the role of Captain Phillips in the movie 'Captain Phillips'?,Tom Hanks
What movie features the song 'I Will Always Love You'?,The Bodyguard
Who directed 'There Will Be Blood'?,Paul Thomas Anderson
What movie features the character named John Connor?,Terminator 2: Judgment Day
Who played the role of Michael Corleone in 'The Godfather'?,Al Pacino
What movie is about a man trapped on a deserted island?,Cast Away
What movie features a teacher named Mr. Keating?,Dead Poets Society
Who directed 'Pan's Labyrinth'?,Guillermo del Toro
What is the name of the main character in 'Gladiator'?,Maximus
Who starred as the main character in 'Fight Club'?,Edward Norton
What movie is about a young girl who is transported to the Land of Oz?,The Wizard of Oz
What movie won the Best Picture Oscar in 2009?,Slumdog Millionaire
Who played Jack Ryan in 'The Hunt for Red October'?,Alec Baldwin
What movie features the character Neo who learns he is 'The One'?,The Matrix
Who starred as the main character in 'Titanic'?,Leonardo DiCaprio
Who directed 'The Green Mile'?,Frank Darabont
What movie features a toy cowboy named Woody?,Toy Story
Who played the role of Miranda Priestly in 'The Devil Wears Prada'?,Meryl Streep
What movie is about a college student who fights against odds in a fictional school called Princeton?,A Beautiful Mind
What movie won the Best Picture Oscar in 1981?,Chariots of Fire
Who directed 'Pulp Fiction'?,Quentin Tarantino
What movie is about a musical band called The Wonders?,That Thing You Do!
Who played the main character in 'Bruce Almighty'?,Jim Carrey
What movie features a famous dance lift in a lake?,Dirty Dancing
What is the name of the main character in 'Die Hard'?,John McClane
What movie features a group of teens dealing with a monster in Derry?,It
What movie is about a woman who falls in love with a mysterious creature?,The Shape of Water
Who played Hannibal Lecter in 'The Silence of the Lambs'?,Anthony Hopkins
What movie features the quote 'I feel the need... the need for speed'?,Top Gun
Who directed 'The Dark Knight Rises'?,Christopher Nolan
What movie is about two sisters who discover they are witches?,Practical Magic
Who played the main character in 'The Pursuit of Happyness'?,Will Smith
What movie features a song performed by Bradley Cooper and Lady Gaga?,A Star is Born
Who directed '12 Years a Slave'?,Steve McQueen
Who played the main character in 'The Sixth Sense'?,Haley Joel Osment
What movie features a man reliving the same day repeatedly?,Groundhog Day
What movie features a hitman meeting a young girl?,Leon The Professional
Who was the first President of the United States?,George Washington
Which French military leader declared himself Emperor in 1804?,Napoleon Bonaparte
Who was the last Tsar of Russia?,Nicholas II
Which British monarch reigned the longest?,Queen Elizabeth II
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher
Which Pharaoh ordered the construction of the Great Pyramid of Giza?,Khufu
Who was the founder of the Mongol Empire?,Genghis Khan
Which Roman general was famously assassinated on the Ides of March?,Julius Caesar
Who was the famous conqueror known for creating the largest contiguous empire in history?,Genghis Khan
Which English king signed the Magna Carta?,King John
Who was the leader of the Soviet Union during World War II?,Joseph Stalin
Which queen was known as the 'Virgin Queen'?,Queen Elizabeth I
Who was the first emperor of China?,Qin Shi Huang
Which leader was known as the 'Iron Chancellor'?,Otto von Bismarck
Who was the king of Macedonia who conquered most of the known world by the age of 30?,Alexander the Great
Which Aztec leader confronted Hernán Cortés?,Montezuma II
Who was the King of France during the French Revolution?,Louis XVI
Which emperor initiated the Pax Romana?,Augustus
Who was crowned Holy Roman Emperor on Christmas Day in 800 AD?,Charlemagne
Which Spanish monarch sponsored Christopher Columbus's voyage in 1492?,Queen Isabella I
Who was the first President of South Africa after apartheid?,Nelson Mandela
Who was known as the 'Sun King'?,Louis XIV
Who was the founder of the Ottoman Empire?,Osman I
Which Egyptian queen had a famous liaison with Mark Antony?,Cleopatra VII
Which famous emperor is credited with building the Hagia Sophia?,Justinian I
Who was the ruler of the Mali Empire during its golden age?,Mansa Musa
"Which monarch famously declared, 'Let them eat cake'?",Marie Antoinette
Who was the longest-reigning Emperor of Japan?,Emperor Hirohito
Which Indian ruler built the Taj Mahal?,Shah Jahan
Who was the first Prime Minister of India?,Jawaharlal Nehru
Who was the ruling monarch when the Spanish Armada was defeated?,Queen Elizabeth I
Who was the first Kaiser of Germany?,Wilhelm I
Which military general famously crossed the Alps with elephants?,Hannibal
Who was known as the 'Father of the American Revolution'?,Samuel Adams
Who was the first ruler of the unified Hawaiian Islands?,King Kamehameha I
"Which ruler was known as 'The Great' and expanded his empire to encompass Greece, Persia, and parts of India?",Alexander the Great
Who led the Haitian Revolution?,Toussaint L'Ouverture
Who was the king of the Franks who was crowned emperor in 800?,Charlemagne
Which English king broke away from the Catholic Church?,Henry VIII
Who was the first Sultan of Egypt and Syria?,Saladin
Which Tsarina was known as 'The Great' and expanded Russian territory significantly?,Catherine the Great
Who was the famed military leader during the Battle of Trafalgar?,Admiral Horatio Nelson
Who was the first Prime Minister of Great Britain?,Robert Walpole
Which Roman emperor famously fiddled while Rome burned?,Nero
Who succeeded Queen Victoria as monarch of the United Kingdom?,King Edward VII
Who was the king during the War of the Roses?,King Henry VI
Which pharaoh’s tomb was discovered by Howard Carter in 1922?,Tutankhamun
Who was the first emperor of the Roman Empire?,Augustus
Who was the last Emperor of the Western Roman Empire?,Romulus Augustulus
Who was the first ruler of the Byzantine Empire?,Constantine the Great
Who ruled the Persian Empire at its greatest territorial extent?,Darius I
Who was the founder of the Maurya Empire in India?,Chandragupta Maurya
Which English king famously lost his crown jewels in The Wash?,King John
Who was the first female pharaoh of ancient Egypt?,Hatshepsut
Which Roman emperor built a massive wall across Northern Britain?,Hadrian
Who was the King of Denmark during World War II?,King Christian X
Who was the founder of modern Turkey?,Mustafa Kemal Atatürk
Who was the king of Babylon known for his code of laws?,Hammurabi
Which leader united the Mongol tribes and founded the Yuan Dynasty?,Kublai Khan
Who was the Prime Minister of the United Kingdom during World War I?,David Lloyd George
Which Mughal emperor was known for his religious tolerance and patronage of the arts?,Akbar the Great
Who led the Scottish forces during the First War of Scottish Independence?,William Wallace
Who was the last Empress of Russia?,Alexandra Feodorovna
Which French leader was instrumental in negotiating the Treaty of Versailles?,Georges Clemenceau
Who was the emperor of Ethiopia during the Italian invasion in 1935?,Haile Selassie
Which Ottoman sultan conquered Constantinople in 1453?,Mehmed II
Who was the first ruler of unified Germany?,Wilhelm I
Which English monarch defeated the Spanish Armada?,Queen Elizabeth I
Who was the king of France that was executed during the French Revolution?,Louis XVI
Who was the Italian leader known for uniting Italy in the 19th century?,Giuseppe Garibaldi
Who was the last Emperor of the Qing Dynasty?,Puyi
Who led the Chinese Communist Party during the Long March?,Mao Zedong
Who was the first Roman emperor to convert to Christianity?,Constantine the Great
Which pharaoh was known for his extensive building projects and the Abu Simbel temples?,Ramesses II
Who was the king of England known for six marriages?,Henry VIII
Which Russian ruler was known as 'The Terrible'?,Ivan IV (Ivan the Terrible)
Who was the Sultan of the Ottoman Empire during World War I?,Mehmed V
Who was the first king of a unified Norway?,Harald Fairhair
Which queen was the daughter of King Ferdinand II of Aragon and Queen Isabella I of Castile?,Catherine of Aragon
Who was the King of Spain during the Spanish Inquisition?,King Ferdinand II
Which Japanese emperor reigned during World War II?,Emperor Hirohito
Who led the conquest of the Aztec Empire?,Hernán Cortés
Which Frankish king was crowned Emperor of the Romans in 800?,Charlemagne
Who was the first President of the United States to serve two non-consecutive terms?,Grover Cleveland
Who was the Queen of England before Queen Elizabeth II?,Queen Elizabeth I
Which Russian czar was overthrown during the Bolshevik Revolution?,Nicholas II
Who was known as the 'Lion of the North' during the Thirty Years' War?,Gustavus Adolphus
Who was the ruler of the Persian Empire during the Greco-Persian Wars?,Xerxes I
Who was the king of England during the signing of the Magna Carta?,King John
Which monarch was executed at the end of the English Civil War?,King Charles I
Who was the powerful Egyptian queen who had alliances with Julius Caesar and Mark Antony?,Cleopatra VII
Who was the first female ruler of the Holy Roman Empire?,Maria Theresa
Which Japanese shogun started the Tokugawa shogunate?,Tokugawa Ieyasu
Who was the king of Prussia known for his military victories and Enlightenment ideals?,Frederick the Great
Who was the first President of France?,Louis-Napoleon Bonaparte (Napoleon III)
Who was the king of France during the construction of the Palace of Versailles?,Louis XIV
Which military leader rose to prominence during the Second Punic War?,Hannibal Barca
Who was the last reigning monarch of Hawaii?,Queen Liliʻuokalani
Who led the Norman Conquest of England in 1066?,William the Conqueror
Which Byzantine Emperor called for the First Crusade?,Alexios I Komnenos
Who was the leader of Italy during World War II?,Benito Mussolini
Who was the Aztec emperor during the Spanish conquest?,Montezuma II
Who was the Greek king of Macedon known for creating one of the largest empires in ancient history?,Alexander the Great
Which British monarch was known for her long reign during the Victorian era?,Queen Victoria
Who was the first ruler of the unified Hawaiian Kingdom?,King Kamehameha I
Which queen was executed in 1587 for plotting against Queen Elizabeth I?,"Mary, Queen of Scots"
Who was the king of England during the American War of Independence?,King George III
Which Roman emperor was known for his wall across Britain?,Hadrian
Who was the founder of the Persian Empire?,Cyrus the Great
Who was the leader of Italy credited with unifying the country in the 19th century?,Giuseppe Garibaldi
Which French king built the Palace of Versailles?,Louis XIV
Who was the first Roman emperor?,Augustus
Who led the Haitian independence movement and became its leader?,Toussaint L'Ouverture
"Who was the English king known for his charter, the Magna Carta?",King John
Which Mughal emperor was the builder of the Taj Mahal?,Shah Jahan
Who was the emperor of the Byzantine Empire during the Nika Riots?,Justinian I
Who was the leader of the Indian independence movement known for non-violent resistance?,Mahatma Gandhi
Who was the first female ruler of ancient Egypt to assume the title of Pharaoh?,Hatshepsut
Who was the Roman general that became the dictator before being assassinated?,Julius Caesar
Who was the French general and emperor who led many military campaigns across Europe?,Napoleon Bonaparte
Who was the Aztec leader during the Spanish conquest?,Montezuma II
Who was the ruler of the Ottoman Empire during World War I?,Mehmed V
Who led the charge in the Greek-Persian wars at the Battle of Thermopylae?,King Leonidas I
Who was the Japanese emperor during the Meiji Restoration?,Emperor Meiji
Who was the Holy Roman Emperor known for initiating the Protestant Reformation?,Charles V
Who was the first female Prime Minister of Pakistan?,Benazir Bhutto
Who was the longest-reigning British monarch before Queen Elizabeth II?,Queen Victoria
Who was the Roman emperor during the Great Fire of Rome in AD 64?,Nero
Which British leader was known for his 'Iron Curtain' speech?,Winston Churchill
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev
Which famous Egyptian queen was involved with both Julius Caesar and Mark Antony?,Cleopatra VII
Who was the first Tsar of Russia?,Ivan the Terrible
Who was the medieval king who led the Third Crusade?,Richard the Lionheart
Which monarch ruled France when the Bastille was stormed?,Louis XVI
Who was the first emperor to be crowned in Aachen?,Charlemagne
Who was the Egyptian Pharaoh known for his long reign and peace treaties?,Ramesses II
Which British Prime Minister declared 'Peace for our time'?,Neville Chamberlain
Who was the founder of the Yuan dynasty in China?,Kublai Khan
Who was the famous Carthaginian general during the Second Punic War?,Hannibal Barca
Which king ruled England before the Norman Conquest?,King Harold II
Who was the ruler of India known for commissioning the Rock Edicts?,Ashoka
Who was the King of the Franks who converted to Christianity and was baptized by Saint Remigius?,Clovis I
Who led the naval battle at the Battle of Salamis against the Persians?,Themistocles
Who was the king of Prussia during the Enlightenment?,Frederick the Great
Who was the first queen to rule England in her own right?,Mary I
Which historical figure is known as the 'Scourge of God'?,Attila the Hun
Who was the ruler of the Mali Empire known for his wealth and pilgrimage to Mecca?,Mansa Musa
Which Roman emperor famously converted to Christianity?,Constantine the Great
Who was the pope that initiated the First Crusade?,Pope Urban II
Who was the last Habsburg ruler of Spain?,Charles II
Who was the Chinese general who led expeditions during the Ming Dynasty?,Zheng He
Who was the last Roman Emperor before the fall of the Western Roman Empire?,Romulus Augustulus
Who was the leader of the Nazi Party in Germany?,Adolf Hitler
Who was the Queen of Scotland who was forced to abdicate and later executed in England?,"Mary, Queen of Scots"
Which German chancellor is credited with the unification of Germany?,Otto von Bismarck
Who was the king of England known for his defeat at the Battle of Hastings in 1066?,King Harold II
Who was the Mughal ruler who expanded the empire to its greatest extent?,Aurangzeb
Who was the French monarch known as the 'Sun King'?,Louis XIV
Who was the legendary ruler of Camelot?,King Arthur
Who was the English king known for his association with the Robin Hood legend?,King Richard the Lionheart
Which Roman leader formed the First Triumvirate with Crassus and Pompey?,Julius Caesar
Who was the first president of the United States to be impeached?,Andrew Johnson
Who was the ancient Egyptian pharaoh known for religious reform and promoting monotheism?,Akhenaten
Which British king was married six times?,Henry VIII
Who was the last monarch of the Kingdom of Hawaii?,Queen Liliʻuokalani
Who led the Soviet Union immediately after the death of Lenin?,Joseph Stalin
Who was the emperor of the Eastern Roman Empire during the Council of Nicaea?,Constantine the Great
Which ruler of Spain sent the Spanish Armada to England?,King Philip II
Who was the famous Chinese philosopher known for his teachings on ethics and government?,Confucius
Who was the general who defeated Napoleon at the Battle of Waterloo?,Duke of Wellington
Who was the king of France during the Hundred Years' War?,King Charles VII
Who was the first female pharaoh who dressed as a man?,Hatshepsut
Which Russian tsar implemented a policy of westernization?,Peter the Great
Who was the leader of the Mexican forces at the Battle of the Alamo?,General Antonio López de Santa Anna
Who was the ruler of Egypt during the Battle of Actium?,Cleopatra VII
Which English king was known as the 'Merry Monarch'?,King Charles II
Who was the first Holy Roman Emperor?,Charlemagne
Who was the Portuguese explorer who first circumnavigated the globe?,Ferdinand Magellan
Who was the Greek historian known as the 'Father of History'?,Herodotus
Which emperor of Rome split the empire into eastern and western halves?,Diocletian
Who was the military leader who led the coup against the Roman Republic and became dictator?,Julius Caesar
Who was the queen who led her people in revolt against Roman occupation in Britain?,Boudica
Who was the president of the Confederate States during the American Civil War?,Jefferson Davis
Who was the last reigning monarch of France?,King Louis-Philippe I
Which king of England was known as 'Longshanks'?,King Edward I
Who was the founder of Buddhism?,Siddhartha Gautama
"Who was the Mongol ruler known for his laws, known as the Yassa?",Genghis Khan
Who was the emperor during the fall of Constantinople in 1453?,Constantine XI
Who was the first President of Brazil?,Marechal Deodoro da Fonseca
Who was the English king during the War of the Roses?,King Edward IV
Who was the leader of France known for the Napoleonic Code?,Napoleon Bonaparte
Which Egyptian Pharaoh is associated with the Battle of Kadesh?,Ramesses II
Who was the first President of the Republic of China?,Sun Yat-sen
Who was the king of Macedon who spread Greek culture through Asia?,Alexander the Great
Who was the first black president of South Africa?,Nelson Mandela
Who was the British queen during the Crimean War?,Queen Victoria
Who was the general who crossed the Alps to invade Italy?,Hannibal Barca
Who was the king of France known for building the Louvre Palace?,Francis I
Which ancient ruler is known for creating the first known code of laws?,Hammurabi
Who was the first emperor of Rome to build the Colosseum?,Vespasian
Who was the 16th President of the United States and led the country during the Civil War?,Abraham Lincoln
Who was the first king of the Kingdom of Saudi Arabia?,King Abdulaziz Ibn Saud
Who was the last Pharaoh of Egypt?,Cleopatra VII
Who was the Norse explorer believed to have reached North America around the year 1000?,Leif Erikson
Who was the English king at the time of the signing of the Magna Carta?,King John
Who was the first emperor of the Roman Empire?,Augustus
Who was the Egyptian Pharaoh known for constructing the Great Pyramid of Giza?,Khufu
Who was the last king of the Hellenistic Seleucid Empire?,Antiochus XIII
Which English king was forced to flee during the Glorious Revolution?,King James II
Who was the first President of the United States?,George Washington
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher
Which Russian Tsar is known for freeing the serfs?,Alexander II
Who led the French army during the Hundred Years' War and was canonized as a saint?,Joan of Arc
Who was the longest-reigning monarch in Japanese history?,Emperor Hirohito
Who was the Byzantine general who recaptured much of the former Western Roman Empire?,Belisarius
Who was the Ottoman sultan known for his legal reforms and expansion of the empire?,Suleiman the Magnificent
Who was the king of Sweden who established the Swedish Empire in the 17th century?,Gustavus Adolphus
Who was the only English monarch to be executed?,King Charles I
Who was the leader of the Chinese Nationalist Party before the communist takeover?,Chiang Kai-shek
Who was the first king of the unified Kingdom of Italy?,Victor Emmanuel II
Which French king was known as 'The Spider King' due to his shrewd tactics?,King Louis XI
Who was the first ruler of the Kingdom of Israel?,King Saul
Who was the Carthaginian military commander known for his strategic brilliance?,Hannibal Barca
Which empress ruled Russia before Catherine the Great?,Empress Elizabeth
Who was the king of Spain during the 1588 launch of the Spanish Armada?,King Philip II
Who was the Greek philosopher and student of Socrates who taught Alexander the Great?,Aristotle
Who was the king of England known for his role in the Crusades?,King Richard the Lionheart
Who was the first democratically elected President of Poland after the fall of communism?,Lech Wałęsa
Who was the emperor of China who commissioned the construction of the Terracotta Army?,Qin Shi Huang
Who was the last Tsar of Russia before the Bolshevik Revolution?,Nicholas II
Which Roman general defeated Cleopatra and Mark Antony at the Battle of Actium?,Octavian
Who was the English king who died fighting at the Battle of Bosworth Field?,King Richard III
Who was the emperor of Japan during World War II?,Emperor Hirohito
Who was the king of Scotland before becoming King of England and uniting the crowns?,King James VI
Who was the Persian king known for his massive invasion of Greece in 480 BC?,Xerxes I
Who was the founder of the Safavid Empire?,Shah Ismail I
Which Pharaoh is famous for his extensive building projects including Abu Simbel?,Ramesses II
Who was the longest-reigning European monarch before Queen Elizabeth II?,King Louis XIV
Who was the British Prime Minister during most of World War II?,Winston Churchill
Who was the King of the Franks who established the Carolingian Empire?,Charlemagne
Which emperor is credited with the 'Great Wall' expansion and the Terracotta Army?,Qin Shi Huang
Who was the Norse explorer believed to have reached North America?,Leif Erikson
Who was the longest-reigning monarch in British history?,Queen Elizabeth II
